2022-09-06 11:17:01,457 - Satnums_logger - INFO - Ищем данные для апогея = 23600км, перигея = Noneкм, наклонения = None градусов
2022-09-06 11:17:57,832 - Satnums_logger - INFO - Ищем данные для апогея = 23600км, перигея = Noneкм, наклонения = None градусов
2022-09-06 11:18:16,273 - Satnums_logger - INFO - Ищем данные для апогея = 23600км, перигея = Noneкм, наклонения = None градусов
2022-09-06 11:19:19,561 - Satnums_logger - INFO - Ищем данные для апогея = 23600км, перигея = Noneкм, наклонения = None градусов
2022-09-06 11:25:53,144 - Satnums_logger - INFO - Ищем данные для апогея = 23600км, перигея = Noneкм, наклонения = None градусов
2022-09-06 11:26:36,885 - Satnums_logger - INFO - Ищем данные для апогея = 23600км, перигея = Noneкм, наклонения = None градусов
2022-09-06 11:26:57,777 - Satnums_logger - INFO - Ищем данные для апогея = 23600км, перигея = Noneкм, наклонения = None градусов
2022-09-06 11:27:10,095 - Satnums_logger - INFO - Ищем данные для апогея = 23600км, перигея = Noneкм, наклонения = None градусов
2022-09-06 11:27:26,791 - Satnums_logger - INFO - Ищем данные для апогея = 23600км, перигея = Noneкм, наклонения = None градусов
2022-09-06 11:27:46,532 - Satnums_logger - INFO - Ищем данные для апогея = 23600км, перигея = Noneкм, наклонения = None градусов
2022-09-06 11:27:57,602 - Satnums_logger - INFO - Ищем данные для апогея = 23600км, перигея = Noneкм, наклонения = None градусов
2022-09-06 11:28:11,335 - Satnums_logger - INFO - Ищем данные для апогея = 23600км, перигея = Noneкм, наклонения = None градусов
2022-09-06 11:28:27,304 - Satnums_logger - INFO - Ищем данные для апогея = 23600км, перигея = Noneкм, наклонения = None градусов
2022-09-06 11:29:18,580 - Satnums_logger - INFO - Ищем данные для апогея = 23600км, перигея = Noneкм, наклонения = None градусов
2022-09-06 11:33:31,055 - Satnums_logger - INFO - Ищем данные для апогея = 23600км, перигея = Noneкм, наклонения = None градусов
2022-09-06 11:33:42,626 - Satnums_logger - INFO - Ищем данные для апогея = 23600км, перигея = Noneкм, наклонения = None градусов
2022-09-06 11:34:26,791 - Satnums_logger - INFO - Ищем данные для апогея = 23600км, перигея = Noneкм, наклонения = None градусов
2022-09-06 11:34:54,053 - Satnums_logger - INFO - Ищем данные для апогея = 23600км, перигея = Noneкм, наклонения = None градусов
2022-09-06 11:35:12,357 - Satnums_logger - INFO - Ищем данные для апогея = 23600км, перигея = Noneкм, наклонения = None градусов
2022-09-06 11:35:21,159 - Satnums_logger - INFO - Ищем данные для апогея = 23600км, перигея = Noneкм, наклонения = None градусов
2022-09-06 11:44:39,161 - Satnums_logger - INFO - Ищем данные для апогея = 23600км, перигея = Noneкм, наклонения = None градусов
2022-09-06 11:45:03,633 - Satnums_logger - INFO - Ищем данные для апогея = 23600км, перигея = Noneкм, наклонения = None градусов
2022-09-06 11:45:18,083 - Satnums_logger - INFO - Ищем данные для апогея = 23600км, перигея = Noneкм, наклонения = None градусов
2022-09-06 11:45:38,690 - Satnums_logger - INFO - Ищем данные для апогея = 23600км, перигея = Noneкм, наклонения = None градусов
2022-09-06 11:46:01,898 - Satnums_logger - INFO - Ищем данные для апогея = 23600км, перигея = Noneкм, наклонения = None градусов
2022-09-06 11:46:42,528 - Satnums_logger - INFO - Ищем данные для апогея = 23600км, перигея = Noneкм, наклонения = None градусов
2022-09-06 11:47:06,626 - Satnums_logger - INFO - Ищем данные для апогея = 23600км, перигея = Noneкм, наклонения = None градусов
2022-09-06 11:47:16,116 - Satnums_logger - INFO - Ищем данные для апогея = 23600км, перигея = Noneкм, наклонения = None градусов
2022-09-06 11:47:56,028 - Satnums_logger - INFO - Ищем данные для апогея = 23600км, перигея = Noneкм, наклонения = None градусов
2022-09-06 11:48:07,290 - Satnums_logger - INFO - Ищем данные для апогея = 23600км, перигея = Noneкм, наклонения = None градусов
2022-09-06 11:49:18,468 - Satnums_logger - INFO - Ищем данные для апогея = 23600км, перигея = Noneкм, наклонения = None градусов
2022-09-06 11:53:36,725 - Satnums_logger - INFO - Ищем данные для апогея = 23600км, перигея = Noneкм, наклонения = None градусов
2022-09-06 11:53:53,365 - Satnums_logger - INFO - Ищем данные для апогея = 23600км, перигея = Noneкм, наклонения = None градусов
2022-09-06 11:54:10,436 - Satnums_logger - INFO - Ищем данные для апогея = 23600км, перигея = Noneкм, наклонения = None градусов
2022-09-06 11:54:22,927 - Satnums_logger - INFO - Ищем данные для апогея = 23600км, перигея = Noneкм, наклонения = None градусов
2022-09-06 11:54:30,311 - Satnums_logger - INFO - Ищем данные для апогея = 23600км, перигея = Noneкм, наклонения = None градусов
2022-09-06 11:55:00,637 - Satnums_logger - INFO - Ищем данные для апогея = 23600км, перигея = Noneкм, наклонения = None градусов
2022-09-06 11:55:07,540 - Satnums_logger - INFO - Ищем данные для апогея = 23600км, перигея = Noneкм, наклонения = None градусов
2022-09-06 11:55:16,887 - Satnums_logger - INFO - Ищем данные для апогея = 23600км, перигея = Noneкм, наклонения = None градусов
2022-09-06 11:55:30,539 - Satnums_logger - INFO - Ищем данные для апогея = 23600км, перигея = Noneкм, наклонения = None градусов
2022-09-06 11:59:58,140 - Satnums_logger - INFO - Ищем данные для апогея = 23600км, перигея = Noneкм, наклонения = None градусов
2022-09-06 12:00:51,276 - Satnums_logger - INFO - Ищем данные для апогея = 23600км, перигея = Noneкм, наклонения = None градусов
2022-09-06 12:01:50,198 - Satnums_logger - INFO - Ищем данные для апогея = 23600км, перигея = Noneкм, наклонения = None градусов
2022-09-06 12:02:28,592 - Satnums_logger - INFO - Ищем данные для апогея = 23600км, перигея = Noneкм, наклонения = None градусов
2022-09-06 12:12:20,731 - Satnums_logger - INFO - Ищем данные для апогея = 23600км, перигея = Noneкм, наклонения = None градусов
2022-09-06 12:12:20,822 - Satnums_logger - INFO - Данные найдены и выведены в интерфейс
